timestamp,target,MAE,RMSE,R2,train_rows,test_rows,model_path
20260427_0414,pm2_5,1.1163186106689083,1.8509117110281899,0.9450115094049701,408,73,models\xgb_pm2_5_20260427_0414.pkl
20260427_0414,pm10,4.035377962875948,6.5962592279780505,0.9240912173513408,408,73,models\xgb_pm10_20260427_0414.pkl
20260501_1058,pm2_5,0.9773044171035741,1.6895681441744443,0.9535711218048261,410,73,models/xgb_pm2_5_20260501_1058.pkl
20260501_1058,pm10,3.8496138992193467,6.209185892087418,0.9338903860989594,410,73,models/xgb_pm10_20260501_1058.pkl
20260502_0746,pm2_5,1.0433607722707714,1.7179329304237447,0.9520120837646887,411,73,models/xgb_pm2_5_20260502_0746.pkl
20260502_0746,pm10,4.304502685175278,6.8920580719624605,0.9227603270864452,411,73,models/xgb_pm10_20260502_0746.pkl
20260503_0803,pm2_5,1.1270608164585525,1.8695338905168282,0.9431738808869548,412,73,models/xgb_pm2_5_20260503_0803.pkl
20260503_0803,pm10,4.791760717824532,8.35346720758506,0.8863743500665882,412,73,models/xgb_pm10_20260503_0803.pkl
20260504_0831,pm2_5,1.0225506842045655,1.6835074707823692,0.9584227832301951,413,73,models/xgb_pm2_5_20260504_0831.pkl
20260504_0831,pm10,6.547159547384835,16.660919218013255,0.7331966488298416,413,73,models/xgb_pm10_20260504_0831.pkl
20260505_0812,pm2_5,1.1008366613416694,1.8503117125969497,0.9509785621934037,413,74,models/xgb_pm2_5_20260505_0812.pkl
20260505_0812,pm10,6.785465036569774,16.785028933246856,0.7458570244448401,413,74,models/xgb_pm10_20260505_0812.pkl
20260507_0836,pm2_5,1.174260043525123,1.911008529344417,0.9472785023756582,415,74,models/xgb_pm2_5_20260507_0836.pkl
20260507_0836,pm10,6.4408223143569,16.31780036440706,0.7598601048564311,415,74,models/xgb_pm10_20260507_0836.pkl
20260508_0744,pm2_5,1.1821100409682443,1.8747398346077822,0.9491698736756885,416,74,models/xgb_pm2_5_20260508_0744.pkl
20260508_0744,pm10,6.637653953391871,16.544817468572802,0.7546130481676865,416,74,models/xgb_pm10_20260508_0744.pkl
20260509_0758,pm2_5,1.2163005419321602,1.946573119410854,0.9452365277663641,417,74,models/xgb_pm2_5_20260509_0758.pkl
20260509_0758,pm10,6.482361760296981,16.285915909223505,0.7633850406428324,417,74,models/xgb_pm10_20260509_0758.pkl
20260510_0809,pm2_5,1.1602977978932603,1.8989583591607062,0.9481073111617686,418,74,models/xgb_pm2_5_20260510_0809.pkl
20260510_0809,pm10,6.512890848955953,16.68704689347691,0.750874260091122,418,74,models/xgb_pm10_20260510_0809.pkl
20260511_0942,pm2_5,1.1555029339260525,1.876490260212132,0.9494665059584266,419,74,models/xgb_pm2_5_20260511_0942.pkl
20260511_0942,pm10,6.305662730219845,15.993907299953444,0.7693199856963597,419,74,models/xgb_pm10_20260511_0942.pkl
20260512_0842,pm2_5,1.143637506555628,1.864190629471619,0.9494719219220018,419,75,models/xgb_pm2_5_20260512_0842.pkl
20260512_0842,pm10,6.232659597891351,15.887212821882292,0.7693117312458763,419,75,models/xgb_pm10_20260512_0842.pkl
20260513_0846,pm2_5,1.1697554976851852,1.7938539929785156,0.9533208165608394,420,75,models/xgb_pm2_5_20260513_0846.pkl
20260513_0846,pm10,6.3788964267306865,16.244239966873746,0.7579335181428797,420,75,models/xgb_pm10_20260513_0846.pkl
20260514_0839,pm2_5,1.281988490069354,1.9926920918945974,0.9441696721764784,421,75,models/xgb_pm2_5_20260514_0839.pkl
20260514_0839,pm10,6.968554041544598,17.554417338044047,0.7221380368422315,421,75,models/xgb_pm10_20260514_0839.pkl
20260515_0850,pm2_5,1.1929846745243777,1.894388254247004,0.9510076056698884,422,75,models/xgb_pm2_5_20260515_0850.pkl
20260515_0850,pm10,6.8514395904541034,17.18774126945187,0.7356589784052034,422,75,models/xgb_pm10_20260515_0850.pkl
